2024-02-27 14:51:19.979 WARN  [http-nio-8080-exec-4] c.n.s.service.StudentService - updateStudent  - class com.na.student_assgn.service.StudentService cannot access a member of class com.na.student_assgn.model.Student with modifiers "private"
2024-02-27 14:51:19.979 WARN  [http-nio-8080-exec-4] c.n.s.service.StudentService - updateStudent  - class com.na.student_assgn.service.StudentService cannot access a member of class com.na.student_assgn.model.Student with modifiers "private"
2024-02-27 14:51:19.979 WARN  [http-nio-8080-exec-4] c.n.s.service.StudentService - updateStudent  - class com.na.student_assgn.service.StudentService cannot access a member of class com.na.student_assgn.model.Student with modifiers "private"
2024-02-27 14:51:19.979 WARN  [http-nio-8080-exec-4] c.n.s.service.StudentService - updateStudent  - class com.na.student_assgn.service.StudentService cannot access a member of class com.na.student_assgn.model.Student with modifiers "private"
2024-02-27 14:51:57.564 WARN  [http-nio-8080-exec-2] c.n.s.service.StudentService - updateStudent  - class com.na.student_assgn.service.StudentService cannot access a member of class com.na.student_assgn.model.Student with modifiers "private"
2024-02-27 14:51:57.566 WARN  [http-nio-8080-exec-2] c.n.s.service.StudentService - updateStudent  - class com.na.student_assgn.service.StudentService cannot access a member of class com.na.student_assgn.model.Student with modifiers "private"
2024-02-27 14:51:57.567 WARN  [http-nio-8080-exec-2] c.n.s.service.StudentService - updateStudent  - class com.na.student_assgn.service.StudentService cannot access a member of class com.na.student_assgn.model.Student with modifiers "private"
2024-02-27 14:51:57.567 WARN  [http-nio-8080-exec-2] c.n.s.service.StudentService - updateStudent  - class com.na.student_assgn.service.StudentService cannot access a member of class com.na.student_assgn.model.Student with modifiers "private"
2024-02-27 14:51:57.567 WARN  [http-nio-8080-exec-2] c.n.s.service.StudentService - updateStudent  - class com.na.student_assgn.service.StudentService cannot access a member of class com.na.student_assgn.model.Student with modifiers "private"
2024-02-27 14:51:57.567 WARN  [http-nio-8080-exec-2] c.n.s.service.StudentService - updateStudent  - class com.na.student_assgn.service.StudentService cannot access a member of class com.na.student_assgn.model.Student with modifiers "private"
2024-02-27 14:51:57.567 WARN  [http-nio-8080-exec-2] c.n.s.service.StudentService - updateStudent  - class com.na.student_assgn.service.StudentService cannot access a member of class com.na.student_assgn.model.Student with modifiers "private"
2024-02-27 14:51:57.567 WARN  [http-nio-8080-exec-2] c.n.s.service.StudentService - updateStudent  - class com.na.student_assgn.service.StudentService cannot access a member of class com.na.student_assgn.model.Student with modifiers "private"
2024-02-27 14:51:57.567 WARN  [http-nio-8080-exec-2] c.n.s.service.StudentService - updateStudent  - class com.na.student_assgn.service.StudentService cannot access a member of class com.na.student_assgn.model.Student with modifiers "private"
2024-02-27 14:51:57.567 WARN  [http-nio-8080-exec-2] c.n.s.service.StudentService - updateStudent  - class com.na.student_assgn.service.StudentService cannot access a member of class com.na.student_assgn.model.Student with modifiers "private"
2024-02-27 14:51:57.567 WARN  [http-nio-8080-exec-2] c.n.s.service.StudentService - updateStudent  - class com.na.student_assgn.service.StudentService cannot access a member of class com.na.student_assgn.model.Student with modifiers "private"
2024-02-27 14:52:51.674 WARN  [http-nio-8080-exec-3] c.n.s.service.StudentService - updateStudent  - class com.na.student_assgn.service.StudentService cannot access a member of class com.na.student_assgn.model.Student with modifiers "private"
